"Table 1. Illicit Drug Use in the Past Month, by Age Group and State: Percentages, Annual Averages Based on 2017 and 2018 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: Illicit Drug Use includes the misuse of prescription psychotherapeutics or the use of marijuana, cocaine (including crack), heroin, hallucinogens, inhalants, or methamphetamine. Misuse of prescription psychotherapeutics is defined as use in any way not directed by a doctor, including use without a prescription of one's own; use in greater amounts, more often, or longer than told; or use in any other way not directed by a doctor. Prescription psychotherapeutics do not include over-the-counter drugs.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2017 and 2018.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
19,Illinois,11.01%,9.99%,12.12%,8.27%,7.05%,9.69%,24.51%,21.95%,27.27%,9.19%,8.04%,10.49%,11.29%,10.20%,12.49%
20,Indiana,11.85%,10.29%,13.60%,7.79%,6.34%,9.55%,24.66%,21.03%,28.69%,10.15%,8.44%,12.16%,12.28%,10.61%,14.18%
21,Iowa,9.39%,8.00%,10.99%,7.30%,5.84%,9.10%,20.04%,16.73%,23.82%,7.77%,6.24%,9.63%,9.60%,8.12%,11.33%
22,Kansas,8.81%,7.50%,10.33%,6.49%,5.16%,8.12%,17.44%,14.52%,20.82%,7.59%,6.13%,9.37%,9.07%,7.66%,10.70%
23,Kentucky,10.22%,8.72%,11.95%,7.18%,5.75%,8.94%,18.75%,15.55%,22.44%,9.21%,7.52%,11.25%,10.53%,8.92%,12.39%
24,Louisiana,9.64%,8.25%,11.22%,6.59%,5.22%,8.30%,21.53%,18.39%,25.03%,8.10%,6.57%,9.95%,9.96%,8.47%,11.66%
25,Maine,17.53%,15.44%,19.83%,11.32%,9.29%,13.73%,36.55%,32.44%,40.87%,15.64%,13.31%,18.30%,18.05%,15.83%,20.50%
26,Maryland,11.55%,10.02%,13.29%,8.82%,7.15%,10.83%,26.51%,22.79%,30.61%,9.62%,7.93%,11.61%,11.82%,10.19%,13.68%
27,Massachusetts,15.84%,13.95%,17.94%,11.30%,9.22%,13.78%,34.16%,30.25%,38.30%,13.19%,11.08%,15.64%,16.25%,14.23%,18.48%
28,Michigan,14.38%,13.24%,15.60%,9.44%,8.12%,10.95%,30.15%,27.56%,32.87%,12.35%,11.01%,13.83%,14.87%,13.64%,16.19%
29,Minnesota,10.65%,9.25%,12.24%,7.70%,6.17%,9.57%,23.41%,19.85%,27.38%,9.01%,7.47%,10.83%,10.96%,9.46%,12.66%
30,Mississippi,8.71%,7.40%,10.22%,6.45%,5.08%,8.15%,18.13%,14.90%,21.87%,7.40%,5.98%,9.11%,8.96%,7.56%,10.58%
31,Missouri,10.22%,8.87%,11.75%,7.62%,6.12%,9.44%,21.61%,18.38%,25.22%,8.72%,7.21%,10.50%,10.49%,9.05%,12.12%
32,Montana,15.80%,13.98%,17.81%,10.99%,8.95%,13.42%,29.03%,25.19%,33.19%,14.25%,12.18%,16.60%,16.25%,14.30%,18.40%
33,Nebraska,9.50%,8.18%,11.01%,7.29%,5.81%,9.11%,23.21%,19.64%,27.20%,7.37%,5.94%,9.11%,9.74%,8.32%,11.37%
34,Nevada,16.34%,14.33%,18.58%,10.15%,8.17%,12.54%,34.01%,29.76%,38.53%,14.55%,12.26%,17.18%,16.96%,14.80%,19.37%
35,New Hampshire,15.47%,13.54%,17.61%,10.71%,8.80%,12.98%,31.76%,27.62%,36.21%,13.48%,11.31%,15.98%,15.89%,13.84%,18.19%
36,New Jersey,9.20%,8.04%,10.51%,7.07%,5.76%,8.66%,22.66%,19.36%,26.34%,7.47%,6.19%,8.98%,9.41%,8.17%,10.82%
37,New Mexico,14.09%,12.13%,16.31%,10.50%,8.49%,12.92%,25.73%,21.99%,29.85%,12.65%,10.41%,15.29%,14.47%,12.37%,16.86%
38,New York,11.36%,10.42%,12.38%,7.85%,6.78%,9.08%,25.90%,23.64%,28.30%,9.43%,8.35%,10.64%,11.68%,10.67%,12.77%
39,North Carolina,9.25%,8.14%,10.49%,8.02%,6.66%,9.63%,21.15%,18.32%,24.29%,7.53%,6.29%,8.98%,9.37%,8.19%,10.70%
40,North Dakota,8.73%,7.43%,10.22%,6.09%,4.74%,7.79%,18.38%,15.36%,21.85%,7.11%,5.69%,8.84%,8.98%,7.61%,10.57%
41,Ohio,10.03%,9.11%,11.04%,7.53%,6.42%,8.83%,22.30%,19.99%,24.79%,8.39%,7.34%,9.59%,10.28%,9.29%,11.37%
42,Oklahoma,9.47%,8.10%,11.04%,7.24%,5.68%,9.20%,20.74%,17.33%,24.62%,7.85%,6.39%,9.60%,9.71%,8.25%,11.40%
43,Oregon,19.97%,17.93%,22.18%,10.79%,8.77%,13.22%,35.56%,31.60%,39.73%,18.63%,16.28%,21.25%,20.80%,18.62%,23.17%
44,Pennsylvania,9.85%,8.88%,10.92%,6.72%,5.67%,7.95%,21.07%,18.86%,23.48%,8.48%,7.36%,9.75%,10.14%,9.10%,11.28%
45,Rhode Island,16.71%,14.79%,18.82%,10.54%,8.61%,12.85%,31.46%,27.46%,35.76%,14.75%,12.55%,17.26%,17.24%,15.21%,19.49%
46,South Carolina,9.84%,8.40%,11.51%,7.80%,6.27%,9.67%,21.15%,18.04%,24.64%,8.35%,6.75%,10.29%,10.04%,8.50%,11.82%
47,South Dakota,8.45%,7.17%,9.94%,6.91%,5.41%,8.77%,19.56%,16.35%,23.22%,6.79%,5.40%,8.51%,8.62%,7.24%,10.22%
48,Tennessee,9.99%,8.56%,11.64%,7.54%,6.10%,9.28%,21.73%,18.29%,25.61%,8.45%,6.89%,10.32%,10.24%,8.70%,12.00%
49,Texas,7.85%,7.16%,8.59%,6.10%,5.21%,7.13%,16.91%,15.10%,18.88%,6.50%,5.71%,7.39%,8.06%,7.31%,8.87%
50,Utah,7.58%,6.37%,9.00%,6.02%,4.66%,7.74%,16.42%,13.50%,19.83%,5.90%,4.63%,7.50%,7.80%,6.49%,9.35%
51,Vermont,20.30%,18.14%,22.64%,13.92%,11.50%,16.74%,38.41%,33.91%,43.12%,17.79%,15.28%,20.61%,20.82%,18.52%,23.33%
52,Virginia,8.64%,7.61%,9.79%,7.05%,5.76%,8.62%,21.97%,19.19%,25.02%,6.72%,5.59%,8.05%,8.80%,7.70%,10.03%
53,Washington,17.89%,15.87%,20.11%,11.31%,9.25%,13.77%,31.44%,27.61%,35.53%,16.59%,14.25%,19.24%,18.51%,16.35%,20.89%
54,West Virginia,10.58%,9.06%,12.33%,7.42%,5.94%,9.23%,20.20%,16.83%,24.04%,9.52%,7.81%,11.56%,10.86%,9.24%,12.73%
55,Wisconsin,10.39%,8.84%,12.17%,7.48%,6.01%,9.27%,22.74%,19.37%,26.51%,8.72%,7.00%,10.83%,10.67%,9.02%,12.59%
56,Wyoming,8.96%,7.56%,10.60%,8.05%,6.37%,10.13%,18.38%,15.22%,22.04%,7.62%,6.07%,9.54%,9.06%,7.56%,10.82%
