"Notes"	"State"	"State Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Cause of death"	"Cause of death Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Connecticut"	"09"	"25 years"	"25"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2018"	"2018"	10	46378	Unreliable
	"Connecticut"	"09"	"25 years"	"25"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2019"	"2019"	14	45726	Unreliable
	"Connecticut"	"09"	"25 years"	"25"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2017"	"2017"	16	45409	Unreliable
	"Connecticut"	"09"	"26 years"	"26"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2014"	"2014"	12	43901	Unreliable
	"Connecticut"	"09"	"26 years"	"26"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2015"	"2015"	15	42719	Unreliable
	"Connecticut"	"09"	"26 years"	"26"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2016"	"2016"	18	43642	Unreliable
	"Connecticut"	"09"	"26 years"	"26"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2017"	"2017"	11	44331	Unreliable
	"Connecticut"	"09"	"26 years"	"26"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2019"	"2019"	11	46169	Unreliable
	"Connecticut"	"09"	"26 years"	"26"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2019"	"2019"	12	46169	Unreliable
	"Connecticut"	"09"	"26 years"	"26"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2020 "	"2020"	13	45610	Unreliable
	"Connecticut"	"09"	"27 years"	"27"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2014"	"2014"	12	45309	Unreliable
	"Connecticut"	"09"	"27 years"	"27"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2016"	"2016"	13	42868	Unreliable
	"Connecticut"	"09"	"27 years"	"27"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2017"	"2017"	14	44356	Unreliable
	"Connecticut"	"09"	"27 years"	"27"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2018"	"2018"	13	44172	Unreliable
	"Connecticut"	"09"	"27 years"	"27"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2019"	"2019"	15	45040	Unreliable
	"Connecticut"	"09"	"27 years"	"27"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2020 "	"2020"	11	46033	Unreliable
	"Connecticut"	"09"	"27 years"	"27"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2017"	"2017"	11	44356	Unreliable
	"Connecticut"	"09"	"27 years"	"27"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2020 "	"2020"	20	46033	43.4
	"Connecticut"	"09"	"28 years"	"28"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2015"	"2015"	15	45434	Unreliable
	"Connecticut"	"09"	"28 years"	"28"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2016"	"2016"	18	43738	Unreliable
	"Connecticut"	"09"	"28 years"	"28"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2017"	"2017"	15	43686	Unreliable
	"Connecticut"	"09"	"28 years"	"28"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2018"	"2018"	14	44061	Unreliable
	"Connecticut"	"09"	"28 years"	"28"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2020 "	"2020"	17	45005	Unreliable
	"Connecticut"	"09"	"28 years"	"28"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2015"	"2015"	10	45434	Unreliable
	"Connecticut"	"09"	"28 years"	"28"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2019"	"2019"	10	44190	Unreliable
	"Connecticut"	"09"	"28 years"	"28"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2020 "	"2020"	18	45005	Unreliable
	"Connecticut"	"09"	"29 years"	"29"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2014"	"2014"	10	44932	Unreliable
	"Connecticut"	"09"	"29 years"	"29"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2015"	"2015"	15	45520	Unreliable
	"Connecticut"	"09"	"29 years"	"29"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2016"	"2016"	15	45058	Unreliable
	"Connecticut"	"09"	"29 years"	"29"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2017"	"2017"	12	44793	Unreliable
	"Connecticut"	"09"	"29 years"	"29"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2018"	"2018"	19	43344	Unreliable
	"Connecticut"	"09"	"29 years"	"29"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2019"	"2019"	18	44332	Unreliable
	"Connecticut"	"09"	"29 years"	"29"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2020 "	"2020"	13	44338	Unreliable
	"Connecticut"	"09"	"29 years"	"29"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2017"	"2017"	16	44793	Unreliable
	"Connecticut"	"09"	"29 years"	"29"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2020 "	"2020"	15	44338	Unreliable
	"Connecticut"	"09"	"30 years"	"30"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2015"	"2015"	10	45119	Unreliable
	"Connecticut"	"09"	"30 years"	"30"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2016"	"2016"	13	45225	Unreliable
	"Connecticut"	"09"	"30 years"	"30"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2017"	"2017"	19	44479	Unreliable
	"Connecticut"	"09"	"30 years"	"30"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2018"	"2018"	17	44372	Unreliable
	"Connecticut"	"09"	"30 years"	"30"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2019"	"2019"	12	43474	Unreliable
	"Connecticut"	"09"	"30 years"	"30"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2020 "	"2020"	14	44542	Unreliable
	"Connecticut"	"09"	"30 years"	"30"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2017"	"2017"	11	44479	Unreliable
	"Connecticut"	"09"	"30 years"	"30"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2018"	"2018"	13	44372	Unreliable
	"Connecticut"	"09"	"30 years"	"30"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2020 "	"2020"	16	44542	Unreliable
	"Connecticut"	"09"	"31 years"	"31"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2016"	"2016"	16	44984	Unreliable
	"Connecticut"	"09"	"31 years"	"31"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2017"	"2017"	19	45054	Unreliable
	"Connecticut"	"09"	"31 years"	"31"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2018"	"2018"	10	44257	Unreliable
	"Connecticut"	"09"	"31 years"	"31"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2019"	"2019"	17	44347	Unreliable
	"Connecticut"	"09"	"31 years"	"31"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2020 "	"2020"	14	43710	Unreliable
	"Connecticut"	"09"	"31 years"	"31"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2017"	"2017"	15	45054	Unreliable
	"Connecticut"	"09"	"31 years"	"31"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2019"	"2019"	17	44347	Unreliable
	"Connecticut"	"09"	"31 years"	"31"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2020 "	"2020"	22	43710	50.3
	"Connecticut"	"09"	"32 years"	"32"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2017"	"2017"	12	44804	Unreliable
	"Connecticut"	"09"	"32 years"	"32"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2018"	"2018"	12	45164	Unreliable
	"Connecticut"	"09"	"32 years"	"32"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2019"	"2019"	10	44340	Unreliable
	"Connecticut"	"09"	"32 years"	"32"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2020 "	"2020"	16	44666	Unreliable
	"Connecticut"	"09"	"32 years"	"32"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2017"	"2017"	12	44804	Unreliable
	"Connecticut"	"09"	"32 years"	"32"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2019"	"2019"	22	44340	49.6
	"Connecticut"	"09"	"32 years"	"32"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2020 "	"2020"	18	44666	Unreliable
	"Connecticut"	"09"	"33 years"	"33"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2014"	"2014"	11	43167	Unreliable
	"Connecticut"	"09"	"33 years"	"33"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2015"	"2015"	10	44334	Unreliable
	"Connecticut"	"09"	"33 years"	"33"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2016"	"2016"	20	43967	45.5
	"Connecticut"	"09"	"33 years"	"33"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2017"	"2017"	22	43513	50.6
	"Connecticut"	"09"	"33 years"	"33"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2018"	"2018"	20	44964	44.5
	"Connecticut"	"09"	"33 years"	"33"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2019"	"2019"	17	45398	Unreliable
	"Connecticut"	"09"	"33 years"	"33"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2020 "	"2020"	14	44466	Unreliable
	"Connecticut"	"09"	"33 years"	"33"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2015"	"2015"	10	44334	Unreliable
	"Connecticut"	"09"	"33 years"	"33"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2016"	"2016"	15	43967	Unreliable
	"Connecticut"	"09"	"33 years"	"33"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2017"	"2017"	15	43513	Unreliable
	"Connecticut"	"09"	"33 years"	"33"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2019"	"2019"	16	45398	Unreliable
	"Connecticut"	"09"	"33 years"	"33"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2020 "	"2020"	20	44466	45.0
	"Connecticut"	"09"	"34 years"	"34"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2016"	"2016"	11	44332	Unreliable
	"Connecticut"	"09"	"34 years"	"34"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2017"	"2017"	16	43773	Unreliable
	"Connecticut"	"09"	"34 years"	"34"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2018"	"2018"	20	43710	45.8
	"Connecticut"	"09"	"34 years"	"34"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2020 "	"2020"	12	45516	Unreliable
	"Connecticut"	"09"	"34 years"	"34"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2017"	"2017"	14	43773	Unreliable
	"Connecticut"	"09"	"34 years"	"34"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2018"	"2018"	15	43710	Unreliable
	"Connecticut"	"09"	"34 years"	"34"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2019"	"2019"	10	45013	Unreliable
	"Connecticut"	"09"	"34 years"	"34"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2020 "	"2020"	16	45516	Unreliable
	"Connecticut"	"09"	"35 years"	"35"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2014"	"2014"	15	42353	Unreliable
	"Connecticut"	"09"	"35 years"	"35"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2015"	"2015"	10	44984	Unreliable
	"Connecticut"	"09"	"35 years"	"35"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2016"	"2016"	15	43106	Unreliable
	"Connecticut"	"09"	"35 years"	"35"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2017"	"2017"	15	44049	Unreliable
	"Connecticut"	"09"	"35 years"	"35"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2018"	"2018"	15	43884	Unreliable
	"Connecticut"	"09"	"35 years"	"35"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2019"	"2019"	18	43998	Unreliable
	"Connecticut"	"09"	"35 years"	"35"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2020 "	"2020"	16	45257	Unreliable
	"Connecticut"	"09"	"35 years"	"35"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2016"	"2016"	10	43106	Unreliable
	"Connecticut"	"09"	"35 years"	"35"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2017"	"2017"	13	44049	Unreliable
	"Connecticut"	"09"	"35 years"	"35"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2018"	"2018"	11	43884	Unreliable
	"Connecticut"	"09"	"35 years"	"35"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2019"	"2019"	15	43998	Unreliable
	"Connecticut"	"09"	"35 years"	"35"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2020 "	"2020"	24	45257	53.0
	"Connecticut"	"09"	"36 years"	"36"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2017"	"2017"	22	43435	50.7
	"Connecticut"	"09"	"36 years"	"36"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2018"	"2018"	18	43931	Unreliable
	"Connecticut"	"09"	"36 years"	"36"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2019"	"2019"	15	43968	Unreliable
	"Connecticut"	"09"	"36 years"	"36"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2020 "	"2020"	17	44102	Unreliable
	"Connecticut"	"09"	"36 years"	"36"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2017"	"2017"	12	43435	Unreliable
	"Connecticut"	"09"	"36 years"	"36"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2018"	"2018"	14	43931	Unreliable
	"Connecticut"	"09"	"36 years"	"36"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2019"	"2019"	24	43968	54.6
	"Connecticut"	"09"	"36 years"	"36"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2020 "	"2020"	21	44102	47.6
	"Connecticut"	"09"	"37 years"	"37"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2017"	"2017"	13	44576	Unreliable
	"Connecticut"	"09"	"37 years"	"37"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2018"	"2018"	16	43443	Unreliable
	"Connecticut"	"09"	"37 years"	"37"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2019"	"2019"	26	44184	58.8
	"Connecticut"	"09"	"37 years"	"37"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2020 "	"2020"	14	44131	Unreliable
	"Connecticut"	"09"	"37 years"	"37"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2016"	"2016"	10	42148	Unreliable
	"Connecticut"	"09"	"37 years"	"37"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2017"	"2017"	14	44576	Unreliable
	"Connecticut"	"09"	"37 years"	"37"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2018"	"2018"	11	43443	Unreliable
	"Connecticut"	"09"	"37 years"	"37"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2019"	"2019"	16	44184	Unreliable
	"Connecticut"	"09"	"37 years"	"37"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2020 "	"2020"	19	44131	Unreliable
	"Connecticut"	"09"	"38 years"	"38"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2015"	"2015"	16	41417	Unreliable
	"Connecticut"	"09"	"38 years"	"38"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2016"	"2016"	11	41677	Unreliable
	"Connecticut"	"09"	"38 years"	"38"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2017"	"2017"	12	42249	Unreliable
	"Connecticut"	"09"	"38 years"	"38"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2018"	"2018"	10	44366	Unreliable
	"Connecticut"	"09"	"38 years"	"38"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2019"	"2019"	13	43319	Unreliable
	"Connecticut"	"09"	"38 years"	"38"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2020 "	"2020"	19	44327	Unreliable
	"Connecticut"	"09"	"38 years"	"38"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2017"	"2017"	13	42249	Unreliable
	"Connecticut"	"09"	"38 years"	"38"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2018"	"2018"	10	44366	Unreliable
	"Connecticut"	"09"	"38 years"	"38"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2019"	"2019"	13	43319	Unreliable
	"Connecticut"	"09"	"38 years"	"38"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2020 "	"2020"	11	44327	Unreliable
	"Connecticut"	"09"	"39 years"	"39"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2015"	"2015"	13	40833	Unreliable
	"Connecticut"	"09"	"39 years"	"39"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2016"	"2016"	14	41260	Unreliable
	"Connecticut"	"09"	"39 years"	"39"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2017"	"2017"	20	41482	48.2
	"Connecticut"	"09"	"39 years"	"39"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2018"	"2018"	12	42252	Unreliable
	"Connecticut"	"09"	"39 years"	"39"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2019"	"2019"	11	44386	Unreliable
	"Connecticut"	"09"	"39 years"	"39"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2020 "	"2020"	19	43668	Unreliable
	"Connecticut"	"09"	"39 years"	"39"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2019"	"2019"	17	44386	Unreliable
	"Connecticut"	"09"	"39 years"	"39"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2020 "	"2020"	27	43668	61.8
	"Connecticut"	"09"	"40 years"	"40"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2014"	"2014"	11	41164	Unreliable
	"Connecticut"	"09"	"40 years"	"40"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2017"	"2017"	11	41465	Unreliable
	"Connecticut"	"09"	"40 years"	"40"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2019"	"2019"	14	42324	Unreliable
	"Connecticut"	"09"	"40 years"	"40"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2020 "	"2020"	21	44559	47.1
	"Connecticut"	"09"	"40 years"	"40"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2017"	"2017"	13	41465	Unreliable
	"Connecticut"	"09"	"40 years"	"40"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2018"	"2018"	13	41308	Unreliable
	"Connecticut"	"09"	"40 years"	"40"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2019"	"2019"	21	42324	49.6
	"Connecticut"	"09"	"40 years"	"40"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"2020 "	"2020"	17	44559	Unreliable
	"Connecticut"	"09"	"41 years"	"41"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2014"	"2014"	11	42649	Unreliable
	"Connecticut"	"09"	"41 years"	"41"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2016"	"2016"	16	41497	Unreliable
	"Connecticut"	"09"	"41 years"	"41"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2017"	"2017"	17	40471	Unreliable
	"Connecticut"	"09"	"41 years"	"41"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2018"	"2018"	15	41333	Unreliable
	"Connecticut"	"09"	"41 years"	"41"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2019"	"2019"	13	41453	Unreliable
	"Connecticut"	"09"	"41 years"	"41"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"2020 "	"2020"	12	42478	Unreliable
